name,affiliations,last_5_year_total,first_author_total,corresponding_author_total,top_total,a_plus_total,a_total,a1_total,a2_total,level_counts_json,paper_links,paper_titles,journals,years,author_roles,is_likely_chinese_name,chinese_name_score,name_filter_reason,review_status
Chaorui Huang,,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.ijpe.2026.110065,Deposit financing for capital-constrained electric vehicle manufacturer in the presence of default risk and information asymmetry,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Chaorui Shen,,1,1,0,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1016/j.dss.2026.114681,Differential impact of evaluative vs. non-evaluative AI feedback on employee safety performance and affective wellbeing,DECISION SUPPORT SYSTEMS,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Chen Liang,"School of Business, University of Connecticut, Storrs, Connecticut 06269",1,1,0,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1287/isre.2024.1004,The Market Consequences of Perceived Strategic Generosity: An Empirical Examination of NFT Charity Fundraisers,INFORMATION SYSTEMS RESEARCH,2026,first_author,0,0.5,"chinese_surname,person_name_length",needs_review
Cheng Fang,South China University of Technology,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.omega.2026.103528,The value of product-specific first-meet coupons: Enhancing customer acquisitions and sales through causal forest,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,2026,first_author,0,0.65,"chinese_surname,chinese_context,person_name_length",needs_review
Cheng Nie,Iowa State University,1,1,0,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.17705/1jais.00835,Firm Competitive Structure and Consumer Reaction in Search Advertisings,JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,2024,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Cheng Ren,Hong Kong Polytechnic University; Hong Kong Science and Technology Parks Corporation,1,1,0,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.tre.2026.104900,Dynamic multi-agent pickup and delivery under communication uncertainties in robotic cellular warehousing systems,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,2026,first_author,0,0.5,"chinese_surname,person_name_length",needs_review
Chengcheng Yang,Tsinghua University,1,0,1,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.trc.2026.105669,Automated vehicle may not adopt fully conservative driving strategies: A game-theoretic framework for pedestrian-vehicle interactions at unsignalized crossing considering external human–machine interfaces,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,2026,corresponding_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",needs_review
Chengyong Xiao,University of Groningen,1,1,0,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1002/joom.70017,The Role of Public and Buyer‐Driven Governance for Supplier Sustainability Development in China,JOURNAL OF OPERATIONS MANAGEMENT,2025,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Cheng‐Yong Xiao,"Department of Operations Faculty of Economics and Business, University of Groningen Groningen the Netherlands",1,1,0,0,0,0,1,0,"{""A1"": 1}",https://doi.org/10.1002/joom.70017,The Role of Public and Buyer‐Driven Governance for Supplier Sustainability Development in China,JOURNAL OF OPERATIONS MANAGEMENT,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
Chenhao Zhou,Northwestern Polytechnical University; Korea National University of Transportation; Hefei University of Technology; Qingdao Huanghai University,1,0,1,0,0,0,0,1,"{""A2"": 1}",https://doi.org/10.1016/j.tre.2026.104926,Battery-swapping-considered scheduling for automated guided vehicles in container terminals: a two-phase decision framework,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",needs_review
