id,school,department,page_type,status_code,fetch_error,parser_status,llm_status,raw_html_path,url,source_url,fetched_at,updated_at
7,Columbia University,,faculty_list,200,,parsed,,/Users/wjy/Library/Mobile Documents/com~apple~CloudDocs/study/西南财经大学/faculty spider/faculty spiderv3/data/raw_html/d498b914a23e2a330c0b3682c66c1538875e3966.html,http://www.tc.columbia.edu/faculty-and-research/faculty-profiles/,http://www.tc.columbia.edu/faculty-and-research/faculty-profiles/,2026-05-20 10:51:34,2026-05-20 10:53:04
1,Princeton University,,school_home,200,,skipped,not_needed,/Users/wjy/Library/Mobile Documents/com~apple~CloudDocs/study/西南财经大学/faculty spider/faculty spiderv3/data/raw_html/88cba316ba445a588b3bb954f49e57622234ecc6.html,http://www.princeton.edu/main/academics/departments/,http://www.princeton.edu/main/academics/departments/,2026-05-20 08:54:23,2026-05-20 08:55:14
2,Princeton University,,faculty_list,403,HTTP 403,no_profile,needs_llm,/Users/wjy/Library/Mobile Documents/com~apple~CloudDocs/study/西南财经大学/faculty spider/faculty spiderv3/data/raw_html/77a4795ba691fb727c741e214fb342d209a0874f.html,http://www.princeton.edu/aos/phd_program/,http://www.princeton.edu/main/academics/departments/,2026-05-20 08:54:41,2026-05-20 10:26:04
3,Princeton University,,faculty_list,403,HTTP 403,no_profile,needs_llm,/Users/wjy/Library/Mobile Documents/com~apple~CloudDocs/study/西南财经大学/faculty spider/faculty spiderv3/data/raw_html/cc60216c04d96967af782480a46119a654427e37.html,http://www.princeton.edu/ihum/,http://www.princeton.edu/main/academics/departments/,2026-05-20 08:54:44,2026-05-20 10:26:04
4,Princeton University,,faculty_candidate,403,HTTP 403,no_profile,needs_llm,/Users/wjy/Library/Mobile Documents/com~apple~CloudDocs/study/西南财经大学/faculty spider/faculty spiderv3/data/raw_html/cd0e01dca5414fe6c70c6aad614a8c921b33551e.html,https://materials.princeton.edu/education/jointphd,http://www.princeton.edu/main/academics/departments/,2026-05-20 08:54:47,2026-05-20 08:55:14
5,Princeton University,,faculty_list,403,HTTP 403,no_profile,,/Users/wjy/Library/Mobile Documents/com~apple~CloudDocs/study/西南财经大学/faculty spider/faculty spiderv3/data/raw_html/0a3cfa29854c4c60f6b9e5e4f9e408ebafb3af88.html,https://materials.princeton.edu/phd,http://www.princeton.edu/main/academics/departments/,2026-05-20 10:24:39,2026-05-20 10:26:04
6,Princeton University,,faculty_candidate,200,,skipped_non_chinese_name,,/Users/wjy/Library/Mobile Documents/com~apple~CloudDocs/study/西南财经大学/faculty spider/faculty spiderv3/data/raw_html/8ed2f92248140d1b0d131c58abc733e3d1b0257b.html,http://www.princeton.edu/meet-princeton/our-faculty,http://www.princeton.edu/main/academics/departments/,2026-05-20 10:24:43,2026-05-20 10:26:07
