name,author_role,paper_id,title,journal,achievement_level,year,doi,paper_url,source,affiliations,is_likely_chinese_name,chinese_name_score,name_filter_reason
Xiaoran Hu,first_author,1164,Leaders on the Other Side of Voice: Extending Black et al.’s Integrative Theory of Collective Voice,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2025.0769,https://doi.org/10.5465/amr.2025.0769,"openalex,crossref",The London School of Economics and Political Science,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Li Lu,first_author,1175,Syncing Minds and Machines: Hybrid Cognitive Alignment as an Emergent Coordination Mechanism in Human–AI Collaboration,ACADEMY OF MANAGEMENT REVIEW,A+,2026,10.5465/amr.2024.0546,https://doi.org/10.5465/amr.2024.0546,"openalex,crossref",University of Delaware,0,0.5,"chinese_surname,person_name_length"
Muhan Zhang,corresponding_author,1270,Interpreting Violence: How Community Context Shapes Corporate Responses to Street Protests,ADMINISTRATIVE SCIENCE QUARTERLY,A+,2026,10.1177/00018392261419416,https://doi.org/10.1177/00018392261419416,"openalex,crossref",The Chinese University of Hong Kong,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Yingqiu Zhu,first_author,375,SGCN: A Robust Subsampling-Based GCN for Large-Scale Network with Out-of-Distribution Nodes,ANNALS OF OPERATIONS RESEARCH,A2,2026,10.1007/s10479-026-07269-9,https://doi.org/10.1007/s10479-026-07269-9,openalex,University of International Business and Economics,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Jie Yang,corresponding_author,375,SGCN: A Robust Subsampling-Based GCN for Large-Scale Network with Out-of-Distribution Nodes,ANNALS OF OPERATIONS RESEARCH,A2,2026,10.1007/s10479-026-07269-9,https://doi.org/10.1007/s10479-026-07269-9,openalex,Beijing University of Technology,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Yushan Li,first_author,271,Inverse inference on cooperative control of networked dynamical systems,AUTOMATICA,A+,2026,10.1016/j.automatica.2026.113044,https://doi.org/10.1016/j.automatica.2026.113044,crossref,,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Zishun Liu,first_author,268,Probabilistic reachability of discrete-time nonlinear stochastic systems,AUTOMATICA,A+,2026,10.1016/j.automatica.2026.113063,https://doi.org/10.1016/j.automatica.2026.113063,openalex,Georgia Institute of Technology,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Yongxin Chen,corresponding_author,268,Probabilistic reachability of discrete-time nonlinear stochastic systems,AUTOMATICA,A+,2026,10.1016/j.automatica.2026.113063,https://doi.org/10.1016/j.automatica.2026.113063,openalex,Georgia Institute of Technology,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Min Zhang,first_author,388,Crowdsourced professional signals: How physician-group congruence shapes patient choice on online healthcare platforms,DECISION SUPPORT SYSTEMS,A1,2026,10.1016/j.dss.2026.114687,https://doi.org/10.1016/j.dss.2026.114687,"openalex,crossref",Harbin Institute of Technology; Sichuan University; West China Second University Hospital of Sichuan University,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Xitong Guo,corresponding_author,388,Crowdsourced professional signals: How physician-group congruence shapes patient choice on online healthcare platforms,DECISION SUPPORT SYSTEMS,A1,2026,10.1016/j.dss.2026.114687,https://doi.org/10.1016/j.dss.2026.114687,"openalex,crossref",Harbin Institute of Technology; Sichuan University; West China Second University Hospital of Sichuan University,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Chaorui Shen,first_author,385,Differential impact of evaluative vs. non-evaluative AI feedback on employee safety performance and affective wellbeing,DECISION SUPPORT SYSTEMS,A1,2026,10.1016/j.dss.2026.114681,https://doi.org/10.1016/j.dss.2026.114681,"openalex,crossref",,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Xusen Cheng,first_author,391,Looking at and feeling the Metaverse: How spatial priming influences trust in collaborative virtual environments through situated cognition,DECISION SUPPORT SYSTEMS,A1,2026,10.1016/j.dss.2026.114685,https://doi.org/10.1016/j.dss.2026.114685,crossref,,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Yuqiu Wang,first_author,387,"Unraveling anthropomorphism in IT/IS research: A literature review, conceptual framework, and research directions",DECISION SUPPORT SYSTEMS,A1,2026,10.1016/j.dss.2026.114688,https://doi.org/10.1016/j.dss.2026.114688,"openalex,crossref",South China Normal University; Hong Kong Polytechnic University,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Hao Hu,first_author,401,Optimizing warehouse product allocation at JD.com: A community detection-driven approach,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,A1,2026,10.1016/j.ejor.2026.04.040,https://doi.org/10.1016/j.ejor.2026.04.040,crossref,Tsinghua University,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Zhe Chen,corresponding_author,401,Optimizing warehouse product allocation at JD.com: A community detection-driven approach,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,A1,2026,10.1016/j.ejor.2026.04.040,https://doi.org/10.1016/j.ejor.2026.04.040,crossref,Jingdong (China),1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Yongchao Liu,corresponding_author,400,Statistical inference for online decision making with Lasso loss function: In a contextual multi-armed bandit setting,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,A1,2026,10.1016/j.ejor.2026.04.032,https://doi.org/10.1016/j.ejor.2026.04.032,crossref,Dalian University of Technology,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Meng Xu,first_author,277,A Generic Competitive-Cooperative Actor-Critic Framework for Deep Reinforcement Learning,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,A+,2026,10.1109/tpami.2026.3664855,https://doi.org/10.1109/tpami.2026.3664855,openalex,City University of Hong Kong,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Jia Li,first_author,284,Computational Investigation of Abstraction in Claude Monet’s Water Lilies Through Brushstroke Analysis,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,A+,2026,10.1109/tpami.2026.3664028,https://doi.org/10.1109/tpami.2026.3664028,crossref,"Department of Statistics and (by courtesy) Computer Science and Engineering, The Pennsylvania State University, University Park, PA, USA",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Zheng Wang,first_author,279,Distribution-to-Points Matching for Image Text Retrieval,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,A+,2026,10.1109/tpami.2026.3664613,https://doi.org/10.1109/tpami.2026.3664613,openalex,Tongji University,0,0.5,"chinese_surname,person_name_length"
Zhipeng Wei,first_author,278,Enhancing Adversarial Transferability With Cost-Efficient Landscape Flattening,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,A+,2026,10.1109/tpami.2026.3664421,https://doi.org/10.1109/tpami.2026.3664421,openalex,Fudan University,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Zeming Wei,first_author,282,Jailbreak and Guard Aligned Language Models With Only Few In-Context Demonstrations,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,A+,2026,10.1109/tpami.2026.3660147,https://doi.org/10.1109/tpami.2026.3660147,crossref,"School of Mathematical Sciences, Peking University, Beijing, China",1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Qian Chen,first_author,283,Thermal3D-GS: Physics-Induced 3D Gaussians for Thermal Infrared Novel-View Synthesis With a Large-Scale Dataset,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,A+,2026,10.1109/tpami.2026.3663966,https://doi.org/10.1109/tpami.2026.3663966,crossref,"Image Processing Center, School of Astronautics, Beihang University, Beijing, China",0,0.65,"chinese_surname,chinese_context,person_name_length"
